baskervilles01	0	0	Chapter	Chapter	NN	(NP*	***	_	_
baskervilles01	0	1	1.	1.	CD	*	***	_	_
baskervilles01	0	2	Mr.	Mr.	NNP	*	***	_	_
baskervilles01	0	3	Sherlock	Sherlock	NNP	*	***	_	_
baskervilles01	0	4	Holmes	Holmes	NNP	*)	***	_	_
baskervilles01	1	0	Mr.	Mr.	NNP	(S(NP(NP*	_	_	_
baskervilles01	1	1	Sherlock	Sherlock	NNP	*	_	_	_
baskervilles01	1	2	Holmes	Holmes	NNP	*)	_	_	_
baskervilles01	1	3	,	,	,	*	_	_	_
baskervilles01	1	4	who	who	WP	(SBAR(WHNP*)	_	_	_
baskervilles01	1	5	was	be	VBD	(S(VP*	_	_	_
baskervilles01	1	6	usually	usually	RB	(ADVP*)	_	_	_
baskervilles01	1	7	very	very	RB	(ADJP*	_	_	_
baskervilles01	1	8	late	late	JJ	*	_	_	_
baskervilles01	1	9	in	in	IN	(PP*	_	_	_
baskervilles01	1	10	the	the	DT	(NP*	_	_	_
baskervilles01	1	11	mornings	morning	NNS	*)))	_	_	_
baskervilles01	1	12	,	,	,	*	_	_	_
baskervilles01	1	13	save	save	VB	(S(VP*	_	_	_
baskervilles01	1	14	upon	upon	IN	(PP*	_	_	_
baskervilles01	1	15	those	those	DT	(NP*	_	those	_
baskervilles01	1	16	not	not	RB	(ADJP*	_	_	_
baskervilles01	1	17	infrequent	infrequent	JJ	*)	in	frequent	frequent
baskervilles01	1	18	occasions	occasion	NNS	*))	_	occasions	_
baskervilles01	1	19	when	when	WRB	(SBAR(WHADVP*)	_	when	_
baskervilles01	1	20	he	he	PRP	(S(NP*)	_	he	_
baskervilles01	1	21	was	be	VBD	(VP*	_	was	_
baskervilles01	1	22	up	up	RB	(ADVP*)	_	up	_
baskervilles01	1	23	all	all	DT	(NP*	_	all	_
baskervilles01	1	24	night	night	NN	*)))))))))	_	night	_
baskervilles01	1	25	,	,	,	*)	_	_	_
baskervilles01	1	26	was	be	VBD	(VP*	_	_	_
baskervilles01	1	27	seated	seat	VBN	(VP*	_	_	_
baskervilles01	1	28	at	at	IN	(PP*	_	_	_
baskervilles01	1	29	the	the	DT	(NP*	_	_	_
baskervilles01	1	30	breakfast	breakfast	NN	*	_	_	_
baskervilles01	1	31	table	table	NN	*))))	_	_	_
baskervilles01	1	32	.	.	.	*)	_	_	_
baskervilles01	1	0	Mr.	Mr.	NNP	(S(NP(NP*	_	_	_
baskervilles01	1	1	Sherlock	Sherlock	NNP	*	_	_	_
baskervilles01	1	2	Holmes	Holmes	NNP	*)	_	_	_
baskervilles01	1	3	,	,	,	*	_	_	_
baskervilles01	1	4	who	who	WP	(SBAR(WHNP*)	_	who	_
baskervilles01	1	5	was	be	VBD	(S(VP*	_	was	was
baskervilles01	1	6	usually	usually	RB	(ADVP*)	_	_	_
baskervilles01	1	7	very	very	RB	(ADJP*	_	very	_
baskervilles01	1	8	late	late	JJ	*	_	late	late
baskervilles01	1	9	in	in	IN	(PP*	_	in	_
baskervilles01	1	10	the	the	DT	(NP*	_	the	_
baskervilles01	1	11	mornings	morning	NNS	*)))	_	mornings	_
baskervilles01	1	12	,	,	,	*	_	,	_
baskervilles01	1	13	save	save	VB	(S(VP*	save	_	_
baskervilles01	1	14	upon	upon	IN	(PP*	_	upon	_
baskervilles01	1	15	those	those	DT	(NP*	_	those	_
baskervilles01	1	16	not	not	RB	(ADJP*	_	not	_
baskervilles01	1	17	infrequent	infrequent	JJ	*)	_	infrequent	_
baskervilles01	1	18	occasions	occasion	NNS	*))	_	occasions	_
baskervilles01	1	19	when	when	WRB	(SBAR(WHADVP*)	_	when	_
baskervilles01	1	20	he	he	PRP	(S(NP*)	_	he	_
baskervilles01	1	21	was	be	VBD	(VP*	_	was	_
baskervilles01	1	22	up	up	RB	(ADVP*)	_	up	_
baskervilles01	1	23	all	all	DT	(NP*	_	all	_
baskervilles01	1	24	night	night	NN	*)))))))))	_	night	_
baskervilles01	1	25	,	,	,	*)	_	_	_
baskervilles01	1	26	was	be	VBD	(VP*	_	_	_
baskervilles01	1	27	seated	seat	VBN	(VP*	_	_	_
baskervilles01	1	28	at	at	IN	(PP*	_	_	_
baskervilles01	1	29	the	the	DT	(NP*	_	_	_
baskervilles01	1	30	breakfast	breakfast	NN	*	_	_	_
baskervilles01	1	31	table	table	NN	*))))	_	_	_
baskervilles01	1	32	.	.	.	*)	_	_	_
baskervilles01	1	0	Mr.	Mr.	NNP	(S(NP(NP*	_	_	_
baskervilles01	1	1	Sherlock	Sherlock	NNP	*	_	_	_
